province,year,average_temp,average_rain
Central Kalimantan,2010,27.186301369863013,4080.3000000000047
Central Sulawesi,2010,22.16301369863015,3944.5
East Java,2010,27.18082191780822,3846.1999999999994
East Kalimantan,2010,25.341095890410955,2810.499999999998
Gorontalo,2010,28.266849315068495,2848.4
Jambi,2010,26.171506849315094,2828.899999999998
Lampung,2010,26.29260273972601,3144.1
Maluku,2010,27.235616438356164,3426.5999999999985
North Kalimantan,2010,22.835616438356155,2798.6999999999966
North Maluku,2010,28.06191780821917,3233.5000000000014
North Sulawesi,2010,28.446849315068494,2131.5
North Sumatra,2010,23.223835616438357,5010.899999999998
Papua,2010,22.74739726027398,2631.299999999999
Riau,2010,26.89506849315068,3832.7000000000016
Riau Islands,2010,27.85534246575342,2915.2000000000003
South Kalimantan,2010,26.135342465753403,3452.899999999999
South Sulawesi,2010,26.64246575342465,3520.800000000004
South Sumatra,2010,26.868493150684937,4335.599999999998
Southeast Sulawesi,2010,24.56301369863013,3255.4
West Java,2010,25.5054794520548,5585.151999999996
West Kalimantan,2010,25.687945205479448,5190.493
West Nusa Tenggara,2010,26.789863013698607,2663.4999999999995
West Papua,2010,25.952602739726,2715.4
West Sulawesi,2010,22.96904109589042,3310.0999999999985
West Sumatra,2010,25.84301369863013,4250.3
Aceh,2011,21.01863013698631,3465.999999999999
Bangka Belitung Islands,2011,27.135616438356173,3222.7000000000007
Banten,2011,27.359726027397272,1570.7809999999988
Bengkulu,2011,26.026849315068493,2742.899999999998
Central Kalimantan,2011,26.856986301369872,2771.6000000000013
Central Sulawesi,2011,22.887671232876706,3599.799999999999
East Java,2011,26.684109589041107,2571.399999999999
East Kalimantan,2011,25.000000000000004,2503.7999999999984
Gorontalo,2011,27.94328767123289,2217.2
Jambi,2011,25.833698630136997,1929.9000000000008
Lampung,2011,26.442739726027405,2424.100000000001
Maluku,2011,26.57287671232876,3764.7999999999984
North Kalimantan,2011,22.569315068493157,3155.9999999999995
North Maluku,2011,27.672328767123307,3340.7000000000003
North Sulawesi,2011,27.96191780821917,2132.8999999999983
North Sumatra,2011,22.988219178082197,4853.699999999998
Papua,2011,22.04849315068494,2743.800000000001
Riau,2011,26.764931506849347,2632.4000000000005
Riau Islands,2011,27.630684931506853,3190.7
South Kalimantan,2011,25.825205479452052,2367.4999999999977
South Sulawesi,2011,26.25808219178082,2303.499999999998
South Sumatra,2011,26.840821917808228,2560.3
Southeast Sulawesi,2011,24.106575342465767,1716.299999999999
West Java,2011,24.80630136986301,4182.898999999996
West Kalimantan,2011,25.543561643835616,3482.776
West Nusa Tenggara,2011,25.79835616438356,2258.400000000001
West Papua,2011,25.398904109589047,3435.1000000000017
West Sulawesi,2011,22.750958904109567,2139.6000000000004
West Sumatra,2011,25.705753424657544,3260.8000000000006
Aceh,2012,21.08497267759561,3102.3
Bangka Belitung Islands,2012,27.287431693989067,2359.4
Banten,2012,27.73743169398907,1589.5789999999995
Bengkulu,2012,26.104371584699447,3152.2999999999997
Central Kalimantan,2012,27.07431693989068,2579.299999999999
Central Sulawesi,2012,22.87650273224043,4371.899999999998
East Java,2012,26.96092896174865,1609.9999999999995
East Kalimantan,2012,24.973770491803272,2537.1
Gorontalo,2012,27.886612021857918,3084.7999999999984
Jambi,2012,25.93715846994534,1969.5
Lampung,2012,26.56393442622951,2343.8000000000006
Maluku,2012,26.570491803278703,4732.999999999999
North Kalimantan,2012,22.62349726775957,2930.600000000003
North Maluku,2012,27.663934426229517,2700.2
North Sulawesi,2012,27.857650273224024,2079.599999999999
North Sumatra,2012,23.05109289617488,4419.100000000001
Papua,2012,22.01448087431693,3038.199999999999
Riau,2012,26.928142076502724,2770.7000000000003
Riau Islands,2012,27.71939890710381,2725.7999999999997
South Kalimantan,2012,25.820218579234968,2454.3999999999983
South Sulawesi,2012,26.434972677595635,2329.9
South Sumatra,2012,27.006830601092897,3320.1
Southeast Sulawesi,2012,24.26448087431693,1911.0
West Java,2012,25.19836065573772,3280.285
West Kalimantan,2012,25.633606557377057,3885.394
West Nusa Tenggara,2012,26.041530054644785,1526.8999999999996
West Papua,2012,25.448087431693978,3474.5000000000005
West Sulawesi,2012,22.84344262295082,1581.7000000000012
West Sumatra,2012,25.76092896174862,3652.500000000002
Aceh,2013,21.143561643835632,3191.5999999999995
Bangka Belitung Islands,2013,27.3695890410959,3265.8999999999965
Banten,2013,27.699452054794527,2457.2119999999995
Bengkulu,2013,26.0701369863014,3523.199999999999
Central Kalimantan,2013,27.14904109589041,3060.7
Central Sulawesi,2013,23.00383561643836,3078.1000000000004
East Java,2013,27.32164383561645,2659.3999999999983
East Kalimantan,2013,25.15835616438357,2954.000000000001
Gorontalo,2013,28.023835616438333,2047.4000000000008
Jambi,2013,26.057260273972613,2205.2999999999997
Lampung,2013,26.36027397260273,3251.2999999999984
Maluku,2013,26.787945205479463,3993.899999999999
North Kalimantan,2013,22.75397260273973,2960.400000000001
North Maluku,2013,27.791506849315063,2525.9999999999995
North Sulawesi,2013,28.096164383561664,2142.4999999999995
North Sumatra,2013,23.096438356164384,3533.700000000003
Papua,2013,22.17452054794522,2798.4999999999977
Riau,2013,27.15150684931508,2866.499999999998
Riau Islands,2013,27.818630136986304,2278.999999999999
South Kalimantan,2013,25.98849315068493,3043.800000000002
South Sulawesi,2013,26.60958904109589,2755.7
South Sumatra,2013,26.965205479452028,3154.9999999999973
Southeast Sulawesi,2013,24.51698630136988,2449.4
West Java,2013,25.58328767123289,4142.206999999997
West Kalimantan,2013,25.80246575342467,3245.660000000003
West Nusa Tenggara,2013,26.37506849315071,1663.7000000000005
West Papua,2013,25.60438356164384,3481.200000000002
West Sulawesi,2013,22.90821917808218,2143.8
West Sumatra,2013,25.944109589041084,3671.099999999997
Aceh,2014,21.32958904109589,3836.3999999999983
Bangka Belitung Islands,2014,27.52438356164383,2115.0
Banten,2014,27.72273972602737,2237.0749999999985
Bengkulu,2014,26.31698630136988,3301.699999999999
Central Kalimantan,2014,27.24520547945204,2573.9
Central Sulawesi,2014,23.183835616438365,3615.800000000001
East Java,2014,27.53808219178082,2205.600000000001
East Kalimantan,2014,25.324383561643835,2334.5
Gorontalo,2014,28.13835616438358,1696.4000000000003
Jambi,2014,26.151232876712346,1836.6
Lampung,2014,26.45397260273969,2108.8000000000006
Maluku,2014,26.630958904109587,3119.4
North Kalimantan,2014,22.850410958904128,2394.299999999999
North Maluku,2014,27.937534246575357,1865.2000000000005
North Sulawesi,2014,28.022465753424683,1427.600000000001
North Sumatra,2014,23.273150684931515,3663.900000000001
Papua,2014,22.098630136986305,1799.8999999999994
Riau,2014,26.765753424657536,3253.3
Riau Islands,2014,27.984109589041097,2275.7999999999997
South Kalimantan,2014,26.271506849315045,2165.999999999999
South Sulawesi,2014,26.633972602739718,2344.6000000000004
South Sumatra,2014,27.236986301369864,2257.4
Southeast Sulawesi,2014,24.516164383561662,2019.5000000000005
West Java,2014,25.410136986301385,4668.180999999999
West Kalimantan,2014,25.881917808219185,2764.9909999999986
West Nusa Tenggara,2014,26.50657534246576,910.9999999999995
West Papua,2014,25.57260273972601,2615.6
West Sulawesi,2014,23.050410958904106,1685.699999999999
West Sumatra,2014,26.40575342465752,3519.499999999998
Aceh,2015,20.188767123287665,2996.9
Bangka Belitung Islands,2015,27.270136986301377,2290.9
Banten,2015,27.54931506849314,1663.412999999999
Bengkulu,2015,24.195616438356165,3685.899999999999
Central Kalimantan,2015,26.950684931506853,3083.5999999999995
Central Sulawesi,2015,24.572876712328775,2896.3999999999983
East Java,2015,27.416164383561657,2794.4999999999955
East Kalimantan,2015,25.70986301369864,2781.1000000000004
Gorontalo,2015,26.65479452054794,1783.3000000000002
Jambi,2015,27.044657534246586,2046.500000000001
Lampung,2015,27.52547945205478,2303.7999999999997
Maluku,2015,25.173972602739703,2104.7000000000003
North Kalimantan,2015,24.58410958904109,2710.499999999999
North Maluku,2015,25.727397260273975,1956.000000000001
North Sulawesi,2015,24.73589041095889,2084.3999999999983
North Sumatra,2015,23.888767123287675,2998.9999999999995
Papua,2015,14.273698630136996,2372.5000000000014
Riau,2015,27.43397260273973,2295.0999999999995
Riau Islands,2015,27.54328767123285,1786.1999999999998
South Kalimantan,2015,26.474246575342477,2192.9
South Sulawesi,2015,25.57342465753425,2789.599999999999
South Sumatra,2015,27.63424657534246,2108.2999999999984
Southeast Sulawesi,2015,23.777260273972583,1981.3
West Java,2015,23.300273972602724,4435.075999999997
West Kalimantan,2015,26.3912328767123,3715.5059999999994
West Nusa Tenggara,2015,25.28219178082193,1545.3999999999987
West Papua,2015,24.125205479452053,3444.3
West Sulawesi,2015,23.72602739726029,3115.5000000000005
West Sumatra,2015,24.360273972602734,3549.399999999998
Aceh,2016,20.44207650273224,2386.1000000000004
Bangka Belitung Islands,2016,27.40136612021858,3882.499999999997
Banten,2016,27.833060109289587,2411.186
Bengkulu,2016,24.32978142076501,4600.400000000002
Central Kalimantan,2016,27.195628415300536,3802.999999999999
Central Sulawesi,2016,24.797267759562885,3885.599999999999
East Java,2016,27.805737704918062,3975.399999999996
East Kalimantan,2016,26.15983606557377,3853.3000000000006
Gorontalo,2016,27.098633879781403,2491.100000000001
Jambi,2016,27.1363387978142,3120.600000000001
Lampung,2016,27.471311475409813,3341.8
Maluku,2016,25.638797814207653,3733.1999999999994
North Kalimantan,2016,24.90601092896176,3191.7000000000003
North Maluku,2016,25.96147540983605,3370.3999999999987
North Sulawesi,2016,24.987978142076503,3116.1000000000017
North Sumatra,2016,24.10327868852457,3310.3
Papua,2016,14.742349726775965,2789.0000000000023
Riau,2016,27.80245901639346,2944.399999999999
Riau Islands,2016,27.61038251366119,3766.399999999999
South Kalimantan,2016,26.561748633879784,3722.400000000002
South Sulawesi,2016,25.914480874316943,4056.600000000002
South Sumatra,2016,27.703551912568297,2940.199999999999
Southeast Sulawesi,2016,24.057377049180328,2647.000000000001
West Java,2016,22.912021857923506,4222.167999999998
West Kalimantan,2016,26.560382513661228,4632.389000000002
West Nusa Tenggara,2016,25.71010928961751,2987.0999999999995
West Papua,2016,24.428415300546465,5110.699999999997
West Sulawesi,2016,24.12076502732241,3739.3000000000006
West Sumatra,2016,24.25519125683062,3286.4
